Date,z1_Light(kW),z2_Light(kW),z3_Light(kW),z4_Light(kW)
2019-03-01 03:00:00,12.12,6.25,14.45,33.34
2019-03-01 06:00:00,0.01,3.96,19.01,38.69
2019-03-01 09:00:00,0.01,5.34,9.14,0.05
2019-03-01 12:00:00,0.02,8.47,18.59,0.07
2019-03-01 15:00:00,0.02,8.4,18.54,0.07
2019-03-01 18:00:00,12.21,7.95,52.62,42.86
2019-03-01 21:00:00,12.29,7.97,39.63,43.68
2019-03-02 00:00:00,12.36,8.03,11.59,33.67
2019-03-02 03:00:00,12.06,7.83,10.99,33.25
2019-03-02 06:00:00,0.0,6.07,11.03,38.38
2019-03-02 09:00:00,0.0,3.82,11.45,9.4
2019-03-02 12:00:00,0.01,6.36,9.2,0.09
2019-03-02 15:00:00,0.01,5.4,9.21,0.05
2019-03-02 18:00:00,12.27,5.48,28.9,43.02
2019-03-02 21:00:00,12.25,7.97,9.26,43.74
2019-03-03 00:00:00,12.33,8.02,9.28,33.68
2019-03-03 03:00:00,12.22,7.94,9.19,33.52
2019-03-03 06:00:00,0.0,5.4,9.11,38.09
2019-03-03 09:00:00,0.01,5.51,9.32,0.08
2019-03-03 12:00:00,0.0,5.36,9.14,0.05
2019-03-03 15:00:00,0.02,6.39,9.22,0.08
2019-03-03 18:00:00,12.06,7.95,22.25,24.63
2019-03-03 21:00:00,12.48,8.08,9.35,15.52
2019-03-04 00:00:00,12.34,8.04,11.61,33.7
2019-03-04 03:00:00,12.37,8.01,9.29,33.67
2019-03-04 06:00:00,0.01,3.95,18.86,34.0
2019-03-04 09:00:00,0.01,6.86,9.01,0.04
2019-03-04 12:00:00,0.01,6.95,11.51,0.04
2019-03-04 15:00:00,0.02,9.28,18.29,0.04
2019-03-04 18:00:00,0.01,6.36,31.73,14.72
2019-03-04 21:00:00,12.36,6.47,18.98,33.54
2019-03-05 00:00:00,12.18,3.88,16.44,22.96
2019-03-05 03:00:00,12.07,3.86,16.35,22.86
2019-03-05 06:00:00,12.32,3.9,18.88,28.66
2019-03-05 09:00:00,0.0,9.23,19.4,0.05
2019-03-05 12:00:00,0.02,8.48,18.82,0.04
2019-03-05 15:00:00,0.02,8.44,18.65,0.06
2019-03-05 18:00:00,12.19,7.87,52.15,42.22
2019-03-05 21:00:00,12.41,9.42,40.52,43.04
2019-03-06 00:00:00,12.27,7.94,16.66,32.48
2019-03-06 03:00:00,12.31,6.43,16.64,32.6
2019-03-06 06:00:00,12.32,3.93,18.96,28.9
2019-03-06 09:00:00,0.02,6.84,9.04,0.06
2019-03-06 12:00:00,0.01,6.97,11.54,0.05
2019-03-06 15:00:00,0.02,6.89,11.38,0.04
2019-03-06 18:00:00,12.25,5.41,46.06,33.83
2019-03-06 21:00:00,12.53,6.55,49.65,34.52
2019-03-07 00:00:00,12.49,3.99,27.89,38.41
2019-03-07 03:00:00,12.46,3.99,27.92,38.4
2019-03-07 06:00:00,12.38,7.02,27.72,43.74
2019-03-07 09:00:00,0.02,10.81,18.46,0.05
2019-03-07 12:00:00,0.0,8.58,18.92,0.03
2019-03-07 15:00:00,0.02,6.92,18.56,0.04
2019-03-07 18:00:00,12.39,8.67,45.7,37.99
2019-03-07 21:00:00,12.32,7.97,42.43,38.64
2019-03-08 00:00:00,12.27,7.95,35.27,28.29
2019-03-08 03:00:00,12.12,3.24,33.62,28.06
2019-03-08 06:00:00,0.0,5.7,21.24,28.93
2019-03-08 09:00:00,0.02,10.75,18.4,0.05
2019-03-08 12:00:00,0.02,12.2,19.01,0.04
2019-03-08 15:00:00,0.03,11.95,18.62,0.06
2019-03-08 18:00:00,12.07,6.5,65.41,14.69
2019-03-08 21:00:00,12.32,6.55,52.94,15.47
2019-03-09 00:00:00,12.4,6.58,9.31,5.2
2019-03-09 03:00:00,12.37,5.04,9.29,5.21
2019-03-09 06:00:00,0.0,4.98,9.24,10.16
2019-03-09 09:00:00,0.02,6.47,18.77,0.06
2019-03-09 12:00:00,0.01,8.06,16.49,0.07
2019-03-09 15:00:00,0.01,4.93,16.37,0.02
2019-03-09 18:00:00,12.08,4.99,29.2,14.7
2019-03-09 21:00:00,12.5,6.66,16.38,15.46
2019-03-10 00:00:00,12.39,5.04,8.83,5.19
