,index,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),z1_Light(kW),z2_Light(kW),z3_Light(kW),z4_Light(kW)
0,2019-03-01 03:00:00,3.9,0.0,0.2,0,73,1013.8,12.12,6.25,14.45,33.34
1,2019-03-01 06:00:00,2.6,0.0,0.8,360,71,1015.0,0.01,3.96,19.01,38.69
2,2019-03-01 09:00:00,7.2,0.0,3.3,270,46,1015.7,0.01,5.34,9.14,0.05
3,2019-03-01 12:00:00,12.0,0.0,5.2,290,24,1014.1,0.02,8.47,18.59,0.07
4,2019-03-01 15:00:00,14.1,0.0,3.4,290,22,1012.6,0.02,8.4,18.54,0.07
5,2019-03-01 18:00:00,13.1,0.0,1.7,340,21,1013.0,12.21,7.95,52.62,42.86
6,2019-03-01 21:00:00,8.8,0.0,0.7,180,36,1014.7,12.29,7.97,39.63,43.68
7,2019-03-02 00:00:00,5.4,0.0,0.1,0,53,1015.0,12.36,8.03,11.59,33.67
8,2019-03-02 03:00:00,2.6,0.0,0.6,140,70,1014.9,12.06,7.83,10.99,33.25
9,2019-03-02 06:00:00,0.5,0.0,0.8,110,85,1014.7,0.0,6.07,11.03,38.38
10,2019-03-02 09:00:00,2.7,0.0,1.8,110,78,1015.3,0.0,3.82,11.45,9.4
11,2019-03-02 12:00:00,11.8,0.0,1.2,70,44,1013.7,0.01,6.36,9.2,0.09
12,2019-03-02 15:00:00,14.5,0.0,0.9,90,33,1010.7,0.01,5.4,9.21,0.05
13,2019-03-02 18:00:00,12.9,0.0,3.2,110,44,1010.3,12.27,5.48,28.9,43.02
14,2019-03-02 21:00:00,10.5,0.0,2.6,110,51,1011.2,12.25,7.97,9.26,43.74
15,2019-03-03 00:00:00,8.5,0.0,1.2,160,58,1010.8,12.33,8.02,9.28,33.68
16,2019-03-03 03:00:00,7.2,0.0,1.1,110,65,1010.1,12.22,7.94,9.19,33.52
17,2019-03-03 06:00:00,5.4,0.0,1.1,140,74,1008.8,0.0,5.4,9.11,38.09
18,2019-03-03 09:00:00,6.3,0.0,1.2,110,71,1008.7,0.01,5.51,9.32,0.08
19,2019-03-03 12:00:00,13.1,0.0,2.1,160,39,1006.6,0.0,5.36,9.14,0.05
20,2019-03-03 15:00:00,14.9,0.0,2.5,110,30,1003.7,0.02,6.39,9.22,0.08
